MiDAS Daily RMS peaks — 20260530
Total: 549 events
RMS: ch 1281-1377 (below ~300 m), bandpass 1-20 Hz
RMS stats  mean=2.6872  std=2.5302  min=1.2713  Q25=1.8869  median=2.4401  Q75=2.9823  max=45.3336
ID   timestamp_tw (UTC+8)       RMS_below300m  fk_label
----------------------------------------------------------
000  2026-05-30 08:06:09    3.7439        noise
001  2026-05-30 08:08:39    2.8251        noise
002  2026-05-30 08:09:00    2.5254        down
003  2026-05-30 08:09:14    3.6253        noise
004  2026-05-30 08:09:31    2.9279        noise
005  2026-05-30 08:10:48    2.6595        noise
006  2026-05-30 08:13:55    2.5649        up
007  2026-05-30 08:14:27    2.5998        up
008  2026-05-30 08:14:49    3.0498        noise
009  2026-05-30 08:15:01    3.5790        noise
010  2026-05-30 08:15:59    2.4329        down
011  2026-05-30 08:16:26    2.4965        down
012  2026-05-30 08:17:16    3.2529        up
013  2026-05-30 08:18:06    3.3008        noise
014  2026-05-30 08:18:23    3.1705        noise
015  2026-05-30 08:20:05    2.2305        noise
016  2026-05-30 08:20:26    3.8252        down
017  2026-05-30 08:20:53    3.1482        down
018  2026-05-30 08:21:20    3.6255        down
019  2026-05-30 08:22:04    3.6659        down
020  2026-05-30 08:22:27    4.9218        down
021  2026-05-30 08:22:42    4.2123        down
022  2026-05-30 08:27:19    2.2800        up
023  2026-05-30 08:29:24    3.1552        noise
024  2026-05-30 08:37:21    2.4900        up
025  2026-05-30 08:37:43    3.9761        down
026  2026-05-30 08:38:22    3.4452        down
027  2026-05-30 08:40:37    3.0196        noise
028  2026-05-30 08:44:03    2.9412        up
029  2026-05-30 08:45:45    2.8378        down
030  2026-05-30 08:45:58    2.4240        down
031  2026-05-30 08:48:39    2.5025        up
032  2026-05-30 08:49:52    2.7276        noise
033  2026-05-30 08:52:38    8.9267        up
034  2026-05-30 08:52:51    12.3582        up
035  2026-05-30 08:55:39    3.1287        down
036  2026-05-30 08:57:50    3.0354        noise
037  2026-05-30 08:58:10    3.8802        noise
038  2026-05-30 08:59:11    3.0462        up
039  2026-05-30 08:59:48    3.7009        noise
040  2026-05-30 09:04:33    2.7582        up
041  2026-05-30 09:10:15    3.5422        up
042  2026-05-30 09:11:28    3.3885        noise
043  2026-05-30 09:15:37    2.4852        noise
044  2026-05-30 09:16:44    2.6213        up
045  2026-05-30 09:19:58    2.7116        up
046  2026-05-30 09:20:13    2.4443        noise
047  2026-05-30 09:26:56    3.0818        noise
048  2026-05-30 09:31:25    2.8403        noise
049  2026-05-30 09:34:10    2.3046        noise
050  2026-05-30 09:37:50    2.9100        noise
051  2026-05-30 09:42:45    2.5264        noise
052  2026-05-30 09:45:09    2.7523        noise
053  2026-05-30 09:49:57    2.6431        noise
054  2026-05-30 09:50:18    2.8596        down
