MiDAS Daily RMS peaks — 20260617
Total: 641 events

[RMS_below300m 欄位說明]
  來源  : TDMS ch 1281–1377（Hole A 下行段，跳過頂部 73 ch，對應深度 ~300–700 m）
  前處理: demean → bandpass 1–20 Hz（causal sosfilt，跨檔保留 filter state）
  公式  : sqrt( sum(x[ch,t]^2) / (97 ch × 1000 samples) ) / DAS_SENSITIVITY
  意義  : STA/LTA 偵測峰值那一秒，97 個 channel × 1000 個取樣點的 RMS 振幅
  單位  : strain rate (1/s)，已轉換為物理應變率（DAS_SENSITIVITY=7.0621e+08）
  參考值: 典型背景 ~7.08e-10–2.83e-09，大地震 > 1.13e-08

RMS stats  mean=3.710e-09  std=2.471e-09  min=1.465e-09  Q25=2.799e-09  median=3.392e-09  Q75=4.168e-09  max=4.607e-08
ID   timestamp_tw (UTC+8)       RMS_below300m  fk_label  CWA
------------------------------------------------------------------
000  2026-06-17 08:05:07    3.498e-09        noise       0
001  2026-06-17 08:05:48    3.467e-09        noise       0
002  2026-06-17 08:06:16    5.365e-09        up          0
003  2026-06-17 08:09:10    3.584e-09        noise       0
004  2026-06-17 08:09:47    3.038e-09        noise       0
005  2026-06-17 08:14:58    3.168e-09        noise       0
006  2026-06-17 08:15:11    4.563e-09        noise       0
007  2026-06-17 08:15:32    3.856e-09        down        0
008  2026-06-17 08:15:47    4.475e-09        noise       0
009  2026-06-17 08:19:58    3.865e-09        noise       0
010  2026-06-17 08:24:09    4.417e-09        noise       0
011  2026-06-17 08:24:38    4.648e-09        noise       0
012  2026-06-17 08:30:06    3.175e-09        noise       0
013  2026-06-17 08:30:27    4.084e-09        noise       0
014  2026-06-17 08:32:26    3.438e-09        noise       0
015  2026-06-17 08:32:38    4.186e-09        noise       0
016  2026-06-17 08:34:04    3.679e-09        noise       0
017  2026-06-17 08:36:01    3.489e-09        noise       0
018  2026-06-17 08:37:27    3.658e-09        noise       0
019  2026-06-17 08:37:41    5.621e-09        noise       0
020  2026-06-17 08:39:08    2.933e-09        noise       0
021  2026-06-17 08:42:47    2.899e-09        noise       0
022  2026-06-17 08:43:33    3.259e-09        noise       0
023  2026-06-17 08:45:42    3.587e-09        down        0
024  2026-06-17 08:48:03    4.171e-09        noise       0
025  2026-06-17 08:49:44    3.792e-09        down        0
026  2026-06-17 08:50:04    4.055e-09        noise       0
027  2026-06-17 08:51:11    3.832e-09        noise       0
028  2026-06-17 08:51:51    4.155e-09        noise       0
029  2026-06-17 08:56:12    5.299e-09        noise       0
030  2026-06-17 08:56:24    4.765e-09        noise       0
031  2026-06-17 08:57:26    3.701e-09        down        0
032  2026-06-17 08:58:28    3.300e-09        noise       0
033  2026-06-17 08:58:43    3.249e-09        noise       0
034  2026-06-17 09:00:00    3.447e-09        noise       0
035  2026-06-17 09:00:20    4.084e-09        noise       0
036  2026-06-17 09:01:45    4.552e-09        noise       0
037  2026-06-17 09:02:45    3.345e-09        noise       0
038  2026-06-17 09:03:36    2.143e-08        up          0
039  2026-06-17 09:04:16    9.280e-09        up          0
040  2026-06-17 09:04:46    2.711e-08        up          0
041  2026-06-17 09:08:50    4.645e-09        noise       0
042  2026-06-17 09:09:06    3.087e-09        noise       0
043  2026-06-17 09:09:30    3.791e-09        noise       0
044  2026-06-17 09:09:54    4.335e-09        noise       0
045  2026-06-17 09:10:37    5.364e-09        noise       0
046  2026-06-17 09:11:46    3.420e-09        noise       0
047  2026-06-17 09:13:29    4.142e-09        noise       0
048  2026-06-17 09:15:53    4.327e-09        noise       0
049  2026-06-17 09:17:25    3.108e-09        down        0
050  2026-06-17 09:19:14    3.143e-09        down        0
051  2026-06-17 09:19:41    3.649e-09        noise       0
052  2026-06-17 09:20:04    3.769e-09        down        0
053  2026-06-17 09:20:32    3.662e-09        down        0
054  2026-06-17 09:20:49    5.341e-09        down        0
055  2026-06-17 09:22:20    4.215e-09        noise       0
056  2026-06-17 09:23:24    3.567e-09        noise       0
057  2026-06-17 09:25:10    3.427e-09        noise       0
058  2026-06-17 09:26:01    4.836e-09        noise       0
059  2026-06-17 09:26:48    4.364e-09        noise       0
060  2026-06-17 09:27:41    5.692e-09        noise       0
061  2026-06-17 09:29:09    3.253e-09        down        0
062  2026-06-17 09:29:35    3.600e-09        noise       0
063  2026-06-17 09:30:38    4.428e-09        noise       0
064  2026-06-17 09:31:53    3.871e-09        down        0
065  2026-06-17 09:32:08    4.591e-09        noise       0
066  2026-06-17 09:33:23    3.825e-09        down        0
067  2026-06-17 09:33:36    4.244e-09        noise       0
068  2026-06-17 09:33:50    5.383e-09        noise       0
069  2026-06-17 09:36:30    4.338e-09        noise       0
070  2026-06-17 09:37:03    3.941e-09        noise       0
071  2026-06-17 09:37:58    4.024e-09        down        0
072  2026-06-17 09:38:41    3.463e-09        noise       0
073  2026-06-17 09:39:22    4.295e-09        noise       0
074  2026-06-17 09:41:17    3.560e-09        noise       0
075  2026-06-17 09:43:40    3.864e-09        down        0
076  2026-06-17 09:46:58    3.766e-09        noise       0
077  2026-06-17 09:52:17    4.647e-09        down        0
078  2026-06-17 09:52:29    3.958e-09        noise       0
